0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-0.08346258,0.017859956,-0.2551626,-0.42521703,0.64335036,0.100692905,-0.31062984,-0.44695145,0.25362408,0.36984703,-0.49219936,-0.13180333,-0.14483252,0.053265292,-0.27001813,-0.31754583,-0.4258811,-0.306332,0.6210602,0.5031544,-0.10784099,-0.12496756,-0.22103453,0.45483196,0.16156787,-0.77107817,0.1688655,-0.08180619,-0.0154809095,-0.15305051,0.2528288,0.1170085,-0.42600238,-0.24452356,0.36732385,0.29327387,-0.042104937,0.5373187,0.11220222,-0.48663366,-0.41722992,0.24570271,-0.2915519,0.10760887,-0.27051115,0.04101491,0.05477892,0.03171467,-0.11250219,0.013535067,-0.105300374,-0.15893798,0.8219155,0.052583236,0.30255702,0.3511271,-0.34346855,-0.1629302,-0.44950852,0.05665911,0.020469345,0.030660642,-0.18674786,-0.065252885,-0.014587651,-0.6529203,-0.44439352,0.31144646,0.55049515,0.30226818,0.8942389,0.23320526,0.49025875,0.47243324,-0.25375518,-0.2896553,0.049050465,-0.041558795,0.473245,-0.34299508,-0.19001381,0.3505456,0.15520841,-0.65976524,0.3101779,-0.32900664,0.047734108,0.33466363,-0.008034958,-0.51978153,0.43229002,0.04278498,-0.10206904,0.09569357,-0.73489136,0.3761116,-0.5770896,-0.63433266,-0.32890722,-0.19785255
-0.14260209,0.026327588,-0.29590166,-0.41833043,0.59385693,0.1285086,-0.34990957,-0.42194617,0.1753316,0.33356512,-0.44737315,-0.09369072,-0.14587283,-0.008758433,-0.2231953,-0.37931433,-0.37030312,-0.2764179,0.61621284,0.5286107,-0.21013618,-0.15725379,-0.27322146,0.393372,0.16663793,-0.75511,0.09961894,-0.026224732,-0.023304675,-0.120651565,0.20022236,0.123445205,-0.38543704,-0.2675353,0.33347893,0.26581943,-0.032685895,0.53748983,0.16774797,-0.45312735,-0.39532197,0.25098997,-0.28596506,0.13811925,-0.27638692,-0.0013761483,0.07531425,0.10486822,-0.13441151,-0.0063427933,-0.078228995,-0.12537535,0.78358865,0.09671932,0.25928146,0.3348735,-0.3339254,-0.17383914,-0.36863387,0.060157254,0.0010887748,0.034823194,-0.16630223,-0.07691162,-0.038388427,-0.5997375,-0.3467912,0.30485108,0.46006763,0.28710467,0.8712824,0.25201374,0.5163568,0.47967166,-0.2219016,-0.2441966,0.02078414,-0.0098994635,0.4078125,-0.3239353,-0.18175453,0.33181518,0.17338337,-0.6221834,0.31592146,-0.29349244,0.062540926,0.33548465,0.020456526,-0.43172738,0.35376626,0.057619072,-0.18565576,0.10752587,-0.59801406,0.3898069,-0.46987823,-0.6214519,-0.21524331,-0.19756237
-0.24387413,0.0602988,-0.31219682,-0.44359174,0.55366004,0.15760331,-0.43125322,-0.40666193,0.24723384,0.28938952,-0.424524,-0.09222848,-0.15385687,-0.008624971,-0.15735893,-0.46393365,-0.27436492,-0.35518676,0.6107817,0.5623642,-0.2307949,-0.17839721,-0.30378348,0.407174,0.09559475,-0.70575845,0.029458698,-0.010297953,0.005853215,-0.13415514,0.11083837,0.037836023,-0.40546665,-0.23219745,0.24001402,0.2754541,0.023973051,0.5113833,0.15401104,-0.35046527,-0.41661125,0.33680576,-0.29101622,0.17399272,-0.28588676,0.011414826,0.09294934,0.09266575,-0.13117333,-0.027830845,-0.043890864,-0.014630865,0.814584,0.1144336,0.21078977,0.3529538,-0.24075171,-0.20699514,-0.32952324,0.052487172,0.03750458,0.06303531,-0.24382675,-0.06481363,-0.027879689,-0.6460756,-0.4186427,0.28381014,0.39685065,0.2502664,0.8894557,0.26576754,0.5007819,0.4446931,-0.19837424,-0.23990689,0.044788063,0.061141152,0.47174516,-0.39087972,-0.24801046,0.3698927,0.20504586,-0.5110043,0.32210466,-0.26192993,0.05603061,0.3677093,0.020017657,-0.40360072,0.41920733,0.018362615,-0.15042424,0.14352292,-0.6457225,0.39283106,-0.6392617,-0.6118004,-0.19037427,-0.1819942
-0.26374775,0.016119404,-0.30269143,-0.4203154,0.49923706,0.13651754,-0.4908099,-0.47398123,0.2763593,0.2853799,-0.3811874,-0.17103963,-0.1378492,0.026559455,-0.15488969,-0.4233139,-0.30974537,-0.3865544,0.5620014,0.5920773,-0.21176767,-0.09355826,-0.35637015,0.37399176,0.11024688,-0.6548253,0.055963714,-0.026448939,0.07446746,-0.115536466,0.10913924,0.018203113,-0.39787382,-0.2199739,0.18491948,0.32906744,0.08758875,0.54858714,0.13137141,-0.38687629,-0.4099305,0.36109266,-0.27441388,0.15102884,-0.35908657,0.027183542,0.075003766,0.078931205,-0.123746224,-0.004029677,-0.039779443,-0.008269255,0.80880207,0.18719952,0.21059565,0.44495568,-0.14900824,-0.18700229,-0.30151993,0.03756989,0.038664468,0.111726776,-0.27899227,-0.059635136,0.006574226,-0.64155394,-0.47884116,0.26966935,0.42637888,0.23529819,0.94376725,0.25199357,0.5159753,0.43622613,-0.23309734,-0.2795108,0.04162075,0.038221635,0.44243363,-0.3266162,-0.1946734,0.38968447,0.16506524,-0.52561826,0.3432874,-0.2202981,-0.059664074,0.38507748,0.05277469,-0.37760097,0.4225327,0.027119206,-0.20201467,0.22084308,-0.6934648,0.4586473,-0.67650276,-0.63233083,-0.21796875,-0.20572421
-0.14260209,0.026327588,-0.29590166,-0.41833043,0.59385693,0.1285086,-0.34990957,-0.42194617,0.1753316,0.33356512,-0.44737315,-0.09369072,-0.14587283,-0.008758433,-0.2231953,-0.37931433,-0.37030312,-0.2764179,0.61621284,0.5286107,-0.21013618,-0.15725379,-0.27322146,0.393372,0.16663793,-0.75511,0.09961894,-0.026224732,-0.023304675,-0.120651565,0.20022236,0.123445205,-0.38543704,-0.2675353,0.33347893,0.26581943,-0.032685895,0.53748983,0.16774797,-0.45312735,-0.39532197,0.25098997,-0.28596506,0.13811925,-0.27638692,-0.0013761483,0.07531425,0.10486822,-0.13441151,-0.0063427933,-0.078228995,-0.12537535,0.78358865,0.09671932,0.25928146,0.3348735,-0.3339254,-0.17383914,-0.36863387,0.060157254,0.0010887748,0.034823194,-0.16630223,-0.07691162,-0.038388427,-0.5997375,-0.3467912,0.30485108,0.46006763,0.28710467,0.8712824,0.25201374,0.5163568,0.47967166,-0.2219016,-0.2441966,0.02078414,-0.0098994635,0.4078125,-0.3239353,-0.18175453,0.33181518,0.17338337,-0.6221834,0.31592146,-0.29349244,0.062540926,0.33548465,0.020456526,-0.43172738,0.35376626,0.057619072,-0.18565576,0.10752587,-0.59801406,0.3898069,-0.46987823,-0.6214519,-0.21524331,-0.19756237
-0.17348215,0.048056588,-0.26964718,-0.44767156,0.60761976,0.12655488,-0.38293532,-0.4333655,0.3175372,0.33057982,-0.47188896,-0.13050355,-0.15192944,0.053383928,-0.21149689,-0.392763,-0.34060273,-0.37634876,0.6162326,0.5331575,-0.12620431,-0.14376171,-0.24820076,0.4671004,0.098418385,-0.72721016,0.10650081,-0.06764905,0.010437216,-0.1650537,0.17337638,0.04091145,-0.4438065,-0.21311215,0.28424394,0.30183807,0.008258571,0.5141129,0.09999161,-0.39537847,-0.43615374,0.32198346,-0.29604182,0.1394964,-0.27895546,0.052384667,0.07045455,0.020868031,-0.109623805,-0.005565427,-0.07477759,-0.060498435,0.84946686,0.06832927,0.25945327,0.36719847,-0.2606475,-0.19240221,-0.41474354,0.049841266,0.052838948,0.055738077,-0.25565854,-0.05449912,-0.00524655,-0.6941098,-0.50826144,0.29274338,0.49430227,0.26952305,0.9103929,0.24543087,0.47641435,0.44134122,-0.23284197,-0.2858422,0.07038731,0.021588422,0.53007394,-0.40250123,-0.24890797,0.38439223,0.18335283,-0.56093943,0.31567407,-0.30095106,0.04194716,0.36330777,-0.008425063,-0.49478,0.49045986,0.007890354,-0.07075214,0.12769096,-0.77729887,0.37879974,-0.7276528,-0.6257536,-0.3068014,-0.18401419
-0.08346258,0.017859956,-0.2551626,-0.42521703,0.64335036,0.100692905,-0.31062984,-0.44695145,0.25362408,0.36984703,-0.49219936,-0.13180333,-0.14483252,0.053265292,-0.27001813,-0.31754583,-0.4258811,-0.306332,0.6210602,0.5031544,-0.10784099,-0.12496756,-0.22103453,0.45483196,0.16156787,-0.77107817,0.1688655,-0.08180619,-0.0154809095,-0.15305051,0.2528288,0.1170085,-0.42600238,-0.24452356,0.36732385,0.29327387,-0.042104937,0.5373187,0.11220222,-0.48663366,-0.41722992,0.24570271,-0.2915519,0.10760887,-0.27051115,0.04101491,0.05477892,0.03171467,-0.11250219,0.013535067,-0.105300374,-0.15893798,0.8219155,0.052583236,0.30255702,0.3511271,-0.34346855,-0.1629302,-0.44950852,0.05665911,0.020469345,0.030660642,-0.18674786,-0.065252885,-0.014587651,-0.6529203,-0.44439352,0.31144646,0.55049515,0.30226818,0.8942389,0.23320526,0.49025875,0.47243324,-0.25375518,-0.2896553,0.049050465,-0.041558795,0.473245,-0.34299508,-0.19001381,0.3505456,0.15520841,-0.65976524,0.3101779,-0.32900664,0.047734108,0.33466363,-0.008034958,-0.51978153,0.43229002,0.04278498,-0.10206904,0.09569357,-0.73489136,0.3761116,-0.5770896,-0.63433266,-0.32890722,-0.19785255
-0.3108558,-0.047357753,-0.08753665,-0.24289665,0.13946599,0.10354886,-0.35816574,-0.117544726,-0.041831512,0.07360058,-0.15915045,0.025409449,-0.14341067,0.03381502,-0.19273897,-0.41145626,-0.26621866,-0.34269994,0.21337655,0.1606124,-0.22072184,0.1256764,0.043108203,0.1855673,0.054386914,-0.33073282,0.04080485,0.004058133,-0.0067929416,-0.067195,0.119655035,0.079624265,-0.29863673,-0.19998622,0.060596406,0.47894993,0.1657899,0.21574822,-0.08293472,-0.39058524,-0.101172306,0.33616787,-0.26565313,-0.05743878,-0.14889699,0.04887391,-0.19121599,-0.06553256,0.10437069,0.003989202,-0.093208626,-0.11606324,0.41576582,0.28162998,0.05539859,0.008246887,-0.0029333115,-0.17583704,-0.36697674,-0.051613636,6.2441824e-05,0.035936784,0.013396451,-0.14734079,-0.10134773,-0.28304788,-0.39366728,0.0134725,0.14686552,0.13123201,0.4556288,0.3754344,0.3557385,0.41785097,-0.1150177,-0.19845825,0.122927405,0.054261964,0.0060998546,-0.26669434,0.11161067,0.07087134,0.03178709,-0.34645632,0.1355098,-0.07004081,-0.09064856,0.27149338,-0.047442745,0.0713086,0.36032772,0.10714735,-0.3454571,0.22221954,-0.1895301,0.48146218,-0.18718901,-0.46289268,-0.100274965,-0.1755584
-0.3108558,-0.047357753,-0.08753665,-0.24289665,0.13946599,0.10354886,-0.35816574,-0.117544726,-0.041831512,0.07360058,-0.15915045,0.025409449,-0.14341067,0.03381502,-0.19273897,-0.41145626,-0.26621866,-0.34269994,0.21337655,0.1606124,-0.22072184,0.1256764,0.043108203,0.1855673,0.054386914,-0.33073282,0.04080485,0.004058133,-0.0067929416,-0.067195,0.119655035,0.079624265,-0.29863673,-0.19998622,0.060596406,0.47894993,0.1657899,0.21574822,-0.08293472,-0.39058524,-0.101172306,0.33616787,-0.26565313,-0.05743878,-0.14889699,0.04887391,-0.19121599,-0.06553256,0.10437069,0.003989202,-0.093208626,-0.11606324,0.41576582,0.28162998,0.05539859,0.008246887,-0.0029333115,-0.17583704,-0.36697674,-0.051613636,6.2441824e-05,0.035936784,0.013396451,-0.14734079,-0.10134773,-0.28304788,-0.39366728,0.0134725,0.14686552,0.13123201,0.4556288,0.3754344,0.3557385,0.41785097,-0.1150177,-0.19845825,0.122927405,0.054261964,0.0060998546,-0.26669434,0.11161067,0.07087134,0.03178709,-0.34645632,0.1355098,-0.07004081,-0.09064856,0.27149338,-0.047442745,0.0713086,0.36032772,0.10714735,-0.3454571,0.22221954,-0.1895301,0.48146218,-0.18718901,-0.46289268,-0.100274965,-0.1755584
-0.43541154,-0.08194705,-0.14337222,-0.39225802,-0.025960362,0.12199961,-0.5866022,0.0059013064,0.014689049,0.10521307,-0.15069202,-0.04529286,-0.11194295,0.023487324,-0.092936635,-0.48562813,-0.20931359,-0.38422897,0.22227266,0.19880988,-0.15756866,0.053666186,0.079521716,0.07804345,-0.04457445,-0.19479552,-0.046963714,0.06259723,-0.024356067,-0.13411675,0.10842049,0.0074167103,-0.2617528,-0.26138872,-0.0258355,0.36288786,0.18905026,0.23081914,-0.21440749,-0.21763757,-0.10795138,0.41101336,-0.39836916,-0.058389187,-0.17647588,0.012387377,-0.03130746,-0.03641986,0.10742803,0.037289567,-0.033742793,-0.08569944,0.49510345,0.40147004,0.044906,-0.001989913,0.025659759,-0.25156218,-0.26155815,-0.118865445,0.09941558,0.074549235,-0.0244463,-0.166436,-0.11468129,-0.2224429,-0.301486,-0.07029273,0.14610478,0.08971084,0.36836228,0.3177983,0.3748812,0.33981338,-0.1001147,-0.058267586,0.10811448,0.013547571,-0.06592035,-0.1949347,0.041577272,0.07041548,-0.07440179,-0.26527745,0.08566112,-0.07450277,-0.19653785,0.31064194,-0.084453456,0.25985998,0.43777528,0.089810714,-0.49588642,0.14274582,-0.020041471,0.63437027,-0.34257048,-0.4446965,-0.13881366,-0.19787821
